period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,TUS,WLD,HOT,360734.0,914369.0
2016-02-01,TUS,TUS,WLD,HOT,417553.0,937439.0
2016-03-01,TUS,TUS,WLD,HOT,632325.0,1434806.0
2016-04-01,TUS,TUS,WLD,HOT,752792.0,1698260.0
2016-05-01,TUS,TUS,WLD,HOT,880031.0,2147168.0
2016-06-01,TUS,TUS,WLD,HOT,947811.0,2550714.0
2016-07-01,TUS,TUS,WLD,HOT,1055769.0,3213266.0
2016-08-01,TUS,TUS,WLD,HOT,1019961.0,3449415.0
2016-09-01,TUS,TUS,WLD,HOT,938546.0,2667356.0
2016-10-01,TUS,TUS,WLD,HOT,788835.0,1915360.0
2016-11-01,TUS,TUS,WLD,HOT,460776.0,1066828.0
2016-12-01,TUS,TUS,WLD,HOT,459778.0,1042477.0
2017-01-01,TUS,TUS,WLD,HOT,402691.0,962196.0
2017-02-01,TUS,TUS,WLD,HOT,424233.0,930728.0
2017-03-01,TUS,TUS,WLD,HOT,599857.0,1327859.0
2017-04-01,TUS,TUS,WLD,HOT,921447.0,2069545.0
2017-05-01,TUS,TUS,WLD,HOT,913750.0,2156508.0
2017-06-01,TUS,TUS,WLD,HOT,1030337.0,2747787.0
2017-07-01,TUS,TUS,WLD,HOT,1057367.0,3250118.0
2017-08-01,TUS,TUS,WLD,HOT,1037848.0,3481671.0
2017-09-01,TUS,TUS,WLD,HOT,962030.0,2669938.0
2017-10-01,TUS,TUS,WLD,HOT,773889.0,1890199.0
2017-11-01,TUS,TUS,WLD,HOT,516573.0,1169258.0
2017-12-01,TUS,TUS,WLD,HOT,479443.0,1083050.0
2018-01-01,TUS,TUS,WLD,HOT,414493.0,995287.0
2018-02-01,TUS,TUS,WLD,HOT,462757.0,1004396.0
2018-03-01,TUS,TUS,WLD,HOT,659433.0,1455487.0
2018-04-01,TUS,TUS,WLD,HOT,887187.0,2001591.0
2018-05-01,TUS,TUS,WLD,HOT,975219.0,2318159.0
2018-06-01,TUS,TUS,WLD,HOT,1068034.0,2732436.0
2018-07-01,TUS,TUS,WLD,HOT,1084427.0,3304332.0
2018-08-01,TUS,TUS,WLD,HOT,1062357.0,3479612.0
2018-09-01,TUS,TUS,WLD,HOT,1009540.0,2736248.0
2018-10-01,TUS,TUS,WLD,HOT,803520.0,1943304.0
2018-11-01,TUS,TUS,WLD,HOT,536818.0,1231041.0
2018-12-01,TUS,TUS,WLD,HOT,485625.0,1113797.0
2019-01-01,TUS,TUS,WLD,HOT,399288.0,1011491.0
2019-02-01,TUS,TUS,WLD,HOT,457174.0,1021057.0
2019-03-01,TUS,TUS,WLD,HOT,646511.0,1457093.0
2019-04-01,TUS,TUS,WLD,HOT,918294.0,2106498.0
2019-05-01,TUS,TUS,WLD,HOT,948741.0,2207891.0
2019-06-01,TUS,TUS,WLD,HOT,1081564.0,2791195.0
2019-07-01,TUS,TUS,WLD,HOT,1061830.0,3215539.0
2019-08-01,TUS,TUS,WLD,HOT,1070426.0,3448160.0
2019-09-01,TUS,TUS,WLD,HOT,985973.0,2685148.0
2019-10-01,TUS,TUS,WLD,HOT,822695.0,1943565.0
2019-11-01,TUS,TUS,WLD,HOT,544636.0,1246486.0
2019-12-01,TUS,TUS,WLD,HOT,484642.0,1118305.0
2020-01-01,TUS,TUS,WLD,HOT,409629.0,946142.0
2020-02-01,TUS,TUS,WLD,HOT,330050.0,711712.0
2020-03-01,TUS,TUS,WLD,HOT,46068.0,127003.0
2020-04-01,TUS,TUS,WLD,HOT,4958.0,52773.0
2020-05-01,TUS,TUS,WLD,HOT,26664.0,97948.0
2020-06-01,TUS,TUS,WLD,HOT,210183.0,519119.0
2020-07-01,TUS,TUS,WLD,HOT,471797.0,1486681.0
2020-08-01,TUS,TUS,WLD,HOT,687810.0,2276471.0
2020-09-01,TUS,TUS,WLD,HOT,494766.0,1391636.0
2020-10-01,TUS,TUS,WLD,HOT,264329.0,599603.0
2020-11-01,TUS,TUS,WLD,HOT,64807.0,191056.0
2020-12-01,TUS,TUS,WLD,HOT,52054.0,142810.0
2021-01-01,TUS,TUS,WLD,HOT,78815.0,192882.0
2021-02-01,TUS,TUS,WLD,HOT,93860.0,220999.0
2021-03-01,TUS,TUS,WLD,HOT,91115.0,233802.0
2021-04-01,TUS,TUS,WLD,HOT,92343.0,227827.0
2021-05-01,TUS,TUS,WLD,HOT,274474.0,582218.0
2021-06-01,TUS,TUS,WLD,HOT,492809.0,1338027.0
2021-07-01,TUS,TUS,WLD,HOT,731906.0,2296267.0
2021-08-01,TUS,TUS,WLD,HOT,894731.0,2972987.0
2021-09-01,TUS,TUS,WLD,HOT,690018.0,1914348.0
2021-10-01,TUS,TUS,WLD,HOT,572119.0,1247536.0
2021-11-01,TUS,TUS,WLD,HOT,340573.0,686666.0
2021-12-01,TUS,TUS,WLD,HOT,318186.0,632577.0
